,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,RSI_10,MACD,MACD_Histogram,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,stoch_k,stoch_d
0,0,0,0,0,0,2015-01-02,19.0,19.049999237060547,18.21999931335449,18.850000381469727,7.072021484375,344100,,,,0.0,0.0,,,,,,,,
1,1,1,1,1,1,2015-01-05,18.46999931335449,19.049999237060547,18.1200008392334,18.780000686645508,7.045760631561279,485100,,,,-0.0055840212395388,-0.004467216991631,,,,,,,,
2,2,2,2,2,2,2015-01-06,18.89999961853028,19.13999938964844,18.61000061035156,18.809999465942383,7.057013034820557,634700,,,,-0.0075022660703147,-0.0051083694579256,,,,,,,,
3,3,3,3,3,3,2015-01-07,18.950000762939453,19.14999961853028,18.76000022888184,18.84000015258789,7.068267822265625,349000,,,,-0.0065264513640705,-0.0033060438013451,,,,,,,,
4,4,4,4,4,4,2015-01-08,18.799999237060547,19.3799991607666,18.780000686645508,19.020000457763672,7.135798931121826,557700,,,,0.008671450045032,0.0095134860862059,,,,,,,,
5,5,5,5,5,5,2015-01-09,18.89999961853028,18.96999931335449,18.51000022888184,18.88999938964844,7.087027072906494,596400,,,,0.0101093622390422,0.0087611186241729,,,,,,,,
6,6,6,6,6,6,2015-01-12,18.5,18.90999984741211,18.190000534057617,18.68000030517578,7.008241176605225,646500,,,,-0.005631338504088,-0.0055836656951658,,,,,,,,
7,7,7,7,7,7,2015-01-13,18.75,19.18000030517578,18.75,19.0,7.1282958984375,722600,,,,0.0076274196290562,0.0061400739503827,,,,,,,,
8,8,8,8,8,8,2015-01-14,18.809999465942383,19.790000915527344,18.780000686645508,19.270000457763672,7.229592323303223,1002400,,,,0.0394669114395433,0.0303836526086959,,,,,,,,
9,9,9,9,9,9,2015-01-15,19.309999465942383,19.709999084472656,19.239999771118164,19.56999969482422,7.342144966125488,693800,18.971000099182127,18.971000099182127,,0.0878941799290657,0.0630487368785746,,,,,,,,
10,10,10,10,10,10,2015-01-16,19.600000381469727,20.350000381469727,19.18000030517578,19.850000381469727,7.447193622589111,815400,19.07100009918213,19.13081833232533,82.31596833269627,0.1471703660856924,0.097859938428161,,,,,,,,
11,11,11,11,11,11,2015-01-19,20.020000457763672,20.059999465942383,19.600000381469727,19.600000381469727,7.353398323059082,284800,19.15300006866455,19.216124159442487,68.41039661898675,0.1719916473641234,0.0981449757652736,,,,,,,,
12,12,12,12,12,12,2015-01-20,19.770000457763672,19.89999961853028,19.43000030517578,19.76000022888184,7.413428783416748,545200,19.248000144958496,19.31501071752237,71.79820305968724,0.2022420219785132,0.1027162803037307,,,,,,,,
13,13,13,13,13,13,2015-01-21,19.770000457763672,19.940000534057617,19.51000022888184,19.700000762939453,7.390917301177978,1562100,19.334000205993654,19.3850089075982,68.72714500603115,0.2188514233593039,0.0954605453476171,,,,,,,,
14,14,14,14,14,14,2015-01-22,19.770000457763672,20.020000457763672,19.459999084472656,19.670000076293945,7.379662036895752,1225300,19.39900016784668,19.4368254837247,67.1318379381177,0.226977236636241,0.0828690868996433,,,,,,0.6154489767116015,,
15,15,15,15,15,15,2015-01-23,19.59000015258789,19.809999465942383,19.36000061035156,19.549999237060547,7.334641933441162,303900,19.46500015258789,19.457402529785764,60.853926685074896,0.2211842628643836,0.0616608905022287,,,,,,0.5978359849334924,67.77388097922075,
16,16,16,16,16,16,2015-01-26,19.36000061035156,19.739999771118164,18.979999542236328,19.299999237060547,7.240848064422607,490900,19.52700004577637,19.428783749290268,50.02496854938781,0.1941819698765812,0.027726878011541,,,,,,0.6145149733647551,61.286148783499335,
17,17,17,17,17,17,2015-01-27,19.350000381469727,19.420000076293945,18.979999542236328,19.39999961853028,7.278363227844238,319700,19.5670000076294,19.42355027097027,53.687766266349655,0.1787906656885489,0.009868459058807,,,,,,0.5971125875006985,56.7900733093032,61.95003435734109
18,18,18,18,18,18,2015-01-28,19.34000015258789,19.690000534057617,19.170000076293945,19.299999237060547,7.240848064422607,425700,19.56999988555908,19.401086446623047,49.64487749915369,0.1567172127095872,-0.0097639951361236,,,,,,0.5896346061181127,52.93204834540449,57.002756812735676
19,19,19,19,19,19,2015-01-29,19.420000076293945,19.690000534057617,19.26000022888184,19.5,7.315885066986084,291600,19.56299991607666,19.41907072905522,56.86342193533719,0.1535917225165732,-0.0103115882633101,18.53065496932001,19.267000007629395,20.00334504593877,7.643587875827033,0.6582138673097905,0.5745396313703165,56.01848009028129,55.246867248329664
20,20,20,20,20,20,2015-01-30,19.5,19.88999938964844,19.31999969482422,19.450000762939453,7.29712438583374,644100,19.522999954223632,19.424694371579623,54.68586133508156,0.1454041004913833,-0.0147993682308001,18.58249031472512,19.29700002670288,20.01150973868065,7.405396807680382,0.6070669395193129,0.5741200418310075,51.92899914448549,53.626509193390426
21,21,21,21,21,21,2015-02-02,19.690000534057617,20.280000686645508,19.450000762939453,19.799999237060547,7.428435325622559,782900,19.54299983978272,19.49293161984888,65.085225089548,0.1652523763218667,0.0040391260797466,18.642830374844177,19.34799995422363,20.05316953360309,7.289327900019114,0.8204897772495182,0.597282684579921,56.455412708313474,54.80096398102675
22,22,22,22,22,22,2015-02-03,20.030000686645508,20.3700008392334,19.850000381469727,19.920000076293945,7.473457336425781,543100,19.558999824523926,19.57058043011162,67.89232292580999,0.1884925183350603,0.0218234144743521,18.701722922574096,19.40349998474121,20.105277046908324,7.233510064874761,0.8679944240110699,0.5948594260136537,58.78132833940256,55.721913397400506
23,23,23,23,23,23,2015-02-04,20.01000022888184,20.21999931335449,19.770000457763672,19.950000762939453,7.484710693359375,367600,19.583999824523925,19.639565945171224,68.5937282988981,0.2069457610882317,0.0322213257820188,18.76878538242275,19.459000015258788,20.149214648094823,7.094040107865836,0.8556870025075977,0.5822121241455203,67.45938104417301,60.89870736396301
24,24,24,24,24,24,2015-02-05,19.989999771118164,20.32999992370605,19.71999931335449,19.729999542236328,7.4021735191345215,315600,19.589999771118165,19.65600841736488,58.22914185221979,0.2014951187323355,0.021416546740898,18.8255461005126,19.494499969482423,20.16345383845225,6.863001051753437,0.6760207868418263,0.584600325618593,63.78895138461032,63.34322025606196
25,25,25,25,25,25,2015-02-06,19.709999084472656,20.020000457763672,19.51000022888184,19.559999465942383,7.338391780853271,447100,19.590999794006347,19.638552244378968,51.54241137454976,0.1813671721254053,0.0010308801071743,18.919079515116632,19.52799997329712,20.13692043147761,6.236383234464722,0.5262755933187725,0.5782807544165253,55.15585127817396,62.13472790231909
26,26,26,26,26,26,2015-02-09,19.5,19.850000381469727,19.280000686645508,19.5,7.315885066986084,648800,19.610999870300294,19.613360927219155,49.32133246310183,0.1587442688439431,-0.0172736185394303,19.09953617703945,19.56899995803833,20.03846373903721,4.798035484751873,0.4265119474270006,0.5775884407324822,44.36447614512851,54.43642626930426
27,27,27,27,27,27,2015-02-10,19.6200008392334,19.89999961853028,19.38999938964844,19.88999938964844,7.46220064163208,598400,19.65999984741211,19.663658829479026,61.350111228935845,0.1703217828963055,-0.0045568835896543,19.203218086461103,19.61349992752076,20.0237817685804,4.183667806111049,0.8369628319566413,0.5720058858352494,48.20139936138194,49.2405755948948
28,28,28,28,28,28,2015-02-11,19.700000762939453,20.09000015258789,19.690000534057617,19.75,7.4096760749816895,387800,19.70499992370605,19.6793572241192,56.04434788063374,0.1662834533312285,-0.006876170523785,19.2551973146459,19.63749990463257,20.01980249461924,3.893597370778159,0.6471348851852576,0.5579556699330508,52.75776283308253,48.44121277986432
29,29,29,29,29,29,2015-02-12,19.86000061035156,20.32999992370605,19.81999969482422,20.170000076293945,7.567248821258545,788300,19.77199993133545,19.768565015423697,65.88033580080278,0.1947288313725614,0.0172553660140383,19.22212895851869,19.667499923706053,20.11287088889341,4.529004366747576,1.0641366320057448,0.5597380601747984,68.82489595354315,56.59468604933587
30,30,30,30,30,30,2015-02-13,20.32999992370605,20.350000381469727,19.959999084472656,20.01000022888184,7.507221221923828,1102300,19.82799987792969,19.81246232696154,60.18020751593111,0.2020324436470275,0.0196471826308035,19.21192758567664,19.67549991607666,20.139072246476687,4.712178418615387,0.8607854598618211,0.5461421402607971,71.70261123559949,64.42842334074173
